ID,Start time,Completion time,Email,Name,Last modified time,"I consent to take part in this research having read the above information and confirm that I am a UK resident and over 18 years old.
",How old are you?,What is your gender?,What is the highest level of education you have completed?,What best describes your primary academic or professional background?,"How often do you use a general-purpose LLMs such as ChatGPT, Claude or Gemini?",How long have you been using LLMs regularly?,How long do you typically spend in a single session with an LLM?,Which of the following general-purpose LLMs you have used in the past 3 months? Select all that apply.,Which of the following best describes how you most commonly use LLMs? Select all that apply.,"How often do you use LLMs for personal or emotionally significant conversations, as opposed to practical tasks?","When interacting with an LLM, how often do you use polite language such as ""please"" or ""thank you""?",What best describes your reason for using polite language? Select all that apply.,How does an LLM like ChatGPT primarily generate its responses?,True or false: ChatGPT remembers the content of previous conversations by default and uses this to inform future responses.,"True or false: an LLM will always give the same response to the same question.
",True or false: LLMs understand the meaning of language in the same way humans do.,"To what extent does a cheetah experience emotions?
","To what extent does the average robot have consciousness?
","To what extent does the average insect have a mind of its own?
","To what extent does a television set experience emotions?
","To what extent does the average reptile have consciousness?
","To what extent does the average computer have a mind of its own?
",I sometimes look forward to conversations with LLMs.,I have felt that an LLM understood me in a meaningful way.,"When an LLM expresses interest in what I am saying, it feels genuine rather than mechanical.",I sometimes feel that an LLM is engaged with me as an individual rather than simply processing my input.,I have used an LLM for conversation or support when I would otherwise have talked to another person.,I find it easier to discuss certain topics with an LLM than with people I know.,LLMs are capable of having something like subjective experience.,"When an LLM produces a response, something is happening internally that resembles a mental state. ","LLMs can have states that function like emotions, even if these differ from human emotions",It is possible that current LLMs have some form of inner life.,"LLMs genuinely understand the meaning of what they say, rather than processing statistical patterns","When an LLM expresses curiosity or enthusiasm, this reflects something real about its internal state.","LLMs have something that functions like preferences, even if these are not consciously chosen.",An LLM can have intentions about the outcome of a conversation.
2,5/16/26 12:36:00,5/16/26 12:38:56,anonymous,,,I Agree,18-24,Female,A-level/Higher grade,,Daily,6-12 months,30-60 minutes,ChatGPT;,Learning or study;Personal or emotional discussion;,Very often,Never,,By retrieving relevant information from a continuously updated database,TRUE,FALSE,FALSE,10,1,10,1,10,1,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
3,5/17/26 12:15:22,5/17/26 12:18:23,anonymous,,,I Agree,18-24,Male,A-level/Higher grade,,Monthly,1-2 years,15-30 minutes,Grok;ChatGPT;,Creative projects;Information search;,Never,Always,It is a habit from human conversation;,By searching and summarising content from the internet ,TRUE,FALSE,FALSE,8,3,5,1,8,7,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,Agree
4,5/17/26 16:38:09,5/17/26 16:48:42,anonymous,,,I Agree,18-24,Female,A-level/Higher grade,,Never,,,,,,,,By predicting the most likely word or taken based on patterns in training data,TRUE,FALSE,FALSE,10,3,10,1,10,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree
5,5/18/26 12:45:18,5/18/26 12:48:59,anonymous,,,I Agree,35-44,Male,Degree,STEM,Monthly,More than 2 years,15-30 minutes,Claude;ChatGPT;,General conversation;,Never,Often,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,8,1,5,1,8,1,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree
6,5/18/26 12:47:18,5/18/26 13:00:21,anonymous,,,I Agree,18-24,Male,A-level/Higher grade,,More than once a day,1-2 years,4+ hours,ChatGPT;,Information search;Writing assistance;Learning or study;,Rarely,Rarely,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,7,1,3,1,7,1,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree
7,5/18/26 14:43:52,5/18/26 14:53:02,anonymous,,,I Agree,18-24,Male,A-level/Higher grade,,More than once a day,More than 2 years,5-15 minutes,Claude;ChatGPT;,Learning or study;Creative projects;Information search;Coding;To find the meaning of life the universe and everything.;,Sometimes,Rarely,It is a habit from human conversation;I think it may affect the quality of responses;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,8,1,3,1,5,2,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
8,5/18/26 15:59:49,5/18/26 16:03:39,anonymous,,,I Agree,55-64,Female,Degree,Arts,Less than once a month,,Under 5 minutes,Copilot;,Transcription of recorded interviews ;,Never,Never,,Don't know,Don't know,Don't know,Don't know,8,1,10,1,10,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
9,5/18/26 16:02:31,5/18/26 16:06:55,anonymous,,,I Agree,55-64,Female,Degree,Business,Less than once a month,,Under 5 minutes,Copilot;,Writing assistance;Information search;,Never,Sometimes,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,9,2,7,1,8,1,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree
10,5/18/26 16:10:49,5/18/26 16:18:38,anonymous,,,I Agree,55-64,Female,Degree,Business,More than once a day,6-12 months,15-30 minutes,Claude;Deepseek;ChatGPT;Gemini;Copilot;,Information search;Personal or emotional discussion;General conversation;Learning or study;Writing assistance;Idea generation;Analysis and market research ;,Sometimes,Always,It feels uncomfortable not to;It is a habit from human conversation;I think it may affect the quality of responses;,By searching and summarising content from the internet ,TRUE,FALSE,Don't know,8,2,8,1,5,1,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11,5/18/26 16:13:18,5/18/26 16:19:12,anonymous,,,I Agree,55-64,Female,Postgraduate,Humanities,Weekly,6-12 months,5-15 minutes,ChatGPT;,Information search;,Rarely,Sometimes,It is a habit from human conversation;,By searching and summarising content from the internet ,Don't know,FALSE,FALSE,8,2,3,1,8,3,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
